X_mm,Y_mm,Mean_Delta,Abs_Delta,Std_Delta,Count,Reliability
-132.827,-56.952,13.865,13.865,6.116,8.0,1.287
-132.827,56.952,18.92,18.92,3.862,8.0,2.019
-121.735,-2.712,6.356,6.356,2.354,8.0,3.26
-94.005,-56.952,11.634,11.634,2.17,8.0,3.523
-94.005,94.92,12.052,12.052,2.993,8.0,2.587
-71.821,62.376,9.571,9.571,2.113,8.0,3.615
-55.183,-132.888,5.914,5.914,8.053,8.0,0.981
-55.183,-94.92,11.82,11.82,2.58,8.0,2.985
-55.183,18.984,17.707,17.707,1.359,8.0,5.484
-55.183,94.92,11.059,11.059,2.026,8.0,3.764
-55.183,132.888,22.187,22.187,6.322,8.0,1.246
-49.637,-35.256,13.865,13.865,1.242,8.0,5.963
-16.361,-56.952,16.81,16.81,1.797,8.0,4.217
-16.361,56.952,15.975,15.975,2.324,8.0,3.3
0.277,-132.888,9.724,9.724,2.587,8.0,2.978
0.277,-2.712,19.122,19.122,5.386,8.0,1.458
0.277,127.464,13.549,13.549,2.76,8.0,2.797
16.915,-94.92,11.389,11.389,1.585,8.0,4.747
16.915,-18.984,15.99,15.99,1.277,8.0,5.811
16.915,18.984,19.259,19.259,1.982,8.0,3.843
16.915,94.92,12.825,12.825,2.603,8.0,2.959
55.737,-132.888,7.429,7.429,9.142,8.0,0.866
55.737,56.952,14.506,14.506,2.489,8.0,3.091
72.375,-67.8,8.646,8.646,2.5,8.0,3.077
72.375,-2.712,11.087,11.087,1.522,8.0,4.932
72.375,127.464,0.857,0.857,2.288,8.0,3.351
94.559,-94.92,12.874,12.874,2.52,8.0,3.053
94.559,18.984,12.217,12.217,2.073,8.0,3.682
94.559,62.376,6.371,6.371,1.86,8.0,4.082
133.381,18.984,14.754,14.754,2.403,8.0,3.196
138.927,-35.256,-25.379,25.379,2.951,8.0,2.622
