WaferID,DMT_X_mm,DMT_Y_mm,TFK_X_mm,TFK_Y_mm,DMT_Thickness,TFK_Thickness,Distance_mm,Thickness_Delta,DMT_File,TFK_File
AANBD258TEF7,0.0,0.0,0.0067,-3.6622,11572.25,11555.400391,3.6622061288245367,16.849609000000783,2026-04-03T14.59.32.1725319-LCTW01514-8374-DMT104-TTB628-DMTDUMMY.xml,2026-04-03T06.06.17.3745141-LCTW01514-8374-TFK657-TTB628-METDUMMY.xml
AANBD258TEF7,18.0,18.0,19.3019,19.3019,11564.58,11545.400391,1.8411646368535322,19.17960900000071,2026-04-03T14.59.32.1725319-LCTW01514-8374-DMT104-TTB628-DMTDUMMY.xml,2026-04-03T06.06.17.3745141-LCTW01514-8374-TFK657-TTB628-METDUMMY.xml
AANBD258TEF7,18.0,-21.0,19.3019,-19.3019,11568.05,11553.200195,2.1397399888771536,14.849804999999833,2026-04-03T14.59.32.1725319-LCTW01514-8374-DMT104-TTB628-DMTDUMMY.xml,2026-04-03T06.06.17.3745141-LCTW01514-8374-TFK657-TTB628-METDUMMY.xml
AANBD258TEF7,-48.0,-36.0,-47.4578,-36.4348,11481.48,11466.0,0.6950049496226653,15.479999999999563,2026-04-03T14.59.32.1725319-LCTW01514-8374-DMT104-TTB628-DMTDUMMY.xml,2026-04-03T06.06.17.3745141-LCTW01514-8374-TFK657-TTB628-METDUMMY.xml
AANBD258TEF7,-57.0,18.0,-57.9062,19.3019,11478.22,11460.900391,1.5862351811758546,17.319609000000128,2026-04-03T14.59.32.1725319-LCTW01514-8374-DMT104-TTB628-DMTDUMMY.xml,2026-04-03T06.06.17.3745141-LCTW01514-8374-TFK657-TTB628-METDUMMY.xml
AANBD258TEF7,-18.0,-57.0,-19.3019,-57.9062,11482.5,11466.599609,1.5862351811758546,15.900390999999217,2026-04-03T14.59.32.1725319-LCTW01514-8374-DMT104-TTB628-DMTDUMMY.xml,2026-04-03T06.06.17.3745141-LCTW01514-8374-TFK657-TTB628-METDUMMY.xml
AANBD258TEF7,-18.0,57.0,-19.3019,57.9062,11475.61,11458.5,1.5862351811758546,17.110000000000582,2026-04-03T14.59.32.1725319-LCTW01514-8374-DMT104-TTB628-DMTDUMMY.xml,2026-04-03T06.06.17.3745141-LCTW01514-8374-TFK657-TTB628-METDUMMY.xml
AANBD258TEF7,72.0,-3.0,71.2039,-3.6622,11446.83,11438.900391,1.035511491969062,7.92960900000071,2026-04-03T14.59.32.1725319-LCTW01514-8374-DMT104-TTB628-DMTDUMMY.xml,2026-04-03T06.06.17.3745141-LCTW01514-8374-TFK657-TTB628-METDUMMY.xml
AANBD258TEF7,57.0,57.0,57.9062,57.9062,11437.66,11425.099609,1.2815603302224963,12.560390999999072,2026-04-03T14.59.32.1725319-LCTW01514-8374-DMT104-TTB628-DMTDUMMY.xml,2026-04-03T06.06.17.3745141-LCTW01514-8374-TFK657-TTB628-METDUMMY.xml
AANBD258TEF7,-72.0,63.0,-71.1902,61.8829,11431.05,11423.700195,1.37974216794298,7.349804999999833,2026-04-03T14.59.32.1725319-LCTW01514-8374-DMT104-TTB628-DMTDUMMY.xml,2026-04-03T06.06.17.3745141-LCTW01514-8374-TFK657-TTB628-METDUMMY.xml
AANBD258TEF7,18.0,-96.0,19.3019,-96.51,11419.33,11407.5,1.398228740228152,11.829999999999927,2026-04-03T14.59.32.1725319-LCTW01514-8374-DMT104-TTB628-DMTDUMMY.xml,2026-04-03T06.06.17.3745141-LCTW01514-8374-TFK657-TTB628-METDUMMY.xml
AANBD258TEF7,18.0,96.0,19.3019,96.51,11424.39,11415.0,1.398228740228152,9.389999999999418,2026-04-03T14.59.32.1725319-LCTW01514-8374-DMT104-TTB628-DMTDUMMY.xml,2026-04-03T06.06.17.3745141-LCTW01514-8374-TFK657-TTB628-METDUMMY.xml
AANBD258TEF7,96.0,18.0,96.51,19.3019,11421.01,11408.5,1.398228740228152,12.510000000000218,2026-04-03T14.59.32.1725319-LCTW01514-8374-DMT104-TTB628-DMTDUMMY.xml,2026-04-03T06.06.17.3745141-LCTW01514-8374-TFK657-TTB628-METDUMMY.xml
AANBD258TEF7,72.0,-69.0,71.2039,-69.2075,11416.53,11409.700195,0.8226976722952309,6.829805000001215,2026-04-03T14.59.32.1725319-LCTW01514-8374-DMT104-TTB628-DMTDUMMY.xml,2026-04-03T06.06.17.3745141-LCTW01514-8374-TFK657-TTB628-METDUMMY.xml
AANBD258TEF7,-96.0,-57.0,-96.51,-57.9062,11396.69,11387.799805,1.0398550091238692,8.890194999999949,2026-04-03T14.59.32.1725319-LCTW01514-8374-DMT104-TTB628-DMTDUMMY.xml,2026-04-03T06.06.17.3745141-LCTW01514-8374-TFK657-TTB628-METDUMMY.xml
AANBD258TEF7,-57.0,-96.0,-57.9062,-96.51,11396.12,11385.799805,1.0398550091238692,10.32019500000024,2026-04-03T14.59.32.1725319-LCTW01514-8374-DMT104-TTB628-DMTDUMMY.xml,2026-04-03T06.06.17.3745141-LCTW01514-8374-TFK657-TTB628-METDUMMY.xml
AANBD258TEF7,-57.0,96.0,-57.9062,96.51,11405.28,11393.299805,1.0398550091238692,11.980195000000094,2026-04-03T14.59.32.1725319-LCTW01514-8374-DMT104-TTB628-DMTDUMMY.xml,2026-04-03T06.06.17.3745141-LCTW01514-8374-TFK657-TTB628-METDUMMY.xml
AANBD258TEF7,96.0,63.0,94.9361,61.8829,11393.25,11386.099609,1.5426586206935122,7.1503909999992175,2026-04-03T14.59.32.1725319-LCTW01514-8374-DMT104-TTB628-DMTDUMMY.xml,2026-04-03T06.06.17.3745141-LCTW01514-8374-TFK657-TTB628-METDUMMY.xml
AANBD258TEF7,-120.0,-3.0,-118.655,-3.6622,11381.36,11379.099609,1.4991777212859043,2.2603909999997995,2026-04-03T14.59.32.1725319-LCTW01514-8374-DMT104-TTB628-DMTDUMMY.xml,2026-04-03T06.06.17.3745141-LCTW01514-8374-TFK657-TTB628-METDUMMY.xml
